seconds,lateral_velocity,u,v
37799,0.2901541,-0.28153187,0.07020822
38099,0.29560667,-0.28784814,0.067281164
38399,0.3164534,-0.30961365,0.0654382
38699,0.32200444,-0.3137944,0.07224912
38999,0.3167664,-0.3105962,0.062216964
39299,0.32045802,-0.31439728,0.062029798
39599,0.3331652,-0.32743964,0.061500575
39899,0.34597102,-0.33948725,0.06666606
40199,0.33164233,-0.32604536,0.060671557
40499,0.34262428,-0.3374387,0.059384584
40799,0.34728858,-0.34257597,0.057018008
41099,0.34538147,-0.3415165,0.05152517
41399,0.3509962,-0.3470706,0.052348197
41699,0.3403793,-0.33647034,0.051437162
41999,0.3558523,-0.35159,0.05491206
42299,0.35031623,-0.3472563,0.0462007
42599,0.34442002,-0.34157002,0.044215992
42899,0.34047988,-0.3379499,0.04142972
43199,0.34115154,-0.33900177,0.03823828
43499,0.3399882,-0.33837113,0.033120427
43799,0.32716328,-0.32643658,0.021793932
44099,0.3320696,-0.3310573,0.02590897
44399,0.32441348,-0.32380384,0.01987876
44699,0.34069133,-0.33989996,0.023207353
44999,0.32581276,-0.32530856,0.018118542
45299,0.32070056,-0.32040805,0.013694482
45599,0.33487457,-0.3345847,0.013929641
45899,0.3146718,-0.3145037,0.010284843
46199,0.31315193,-0.31300366,0.009635235
46499,0.2983241,-0.29832172,0.0011990669
46799,0.30688202,-0.3068807,0.0008980387
47099,0.31074855,-0.31074104,0.0021607454
47399,0.2937543,-0.29360485,-0.009369901
47699,0.2853441,-0.28496057,-0.014789128
47999,0.27878207,-0.2783643,-0.015256262
48299,0.27971515,-0.2792964,-0.01529948
48599,0.2684653,-0.26775038,-0.01957964
48899,0.27281922,-0.27174744,-0.02415919
49199,0.25789663,-0.25672093,-0.024597859
49499,0.25783715,-0.2567232,-0.023941377
49799,0.26179844,-0.26158345,-0.010608468
50099,0.2477072,-0.24670325,-0.022279287
50399,0.2371644,-0.23570065,-0.026308734
50699,0.22527929,-0.22342049,-0.02887984
50999,0.22441451,-0.22229081,-0.0308005
51299,0.2187168,-0.21546747,-0.037560776
51599,0.20760408,-0.2046006,-0.035185914
51899,0.20309947,-0.19900228,-0.040589236
52199,0.17903274,-0.175747,-0.034142546
52499,0.17550948,-0.17036067,-0.04219975
52799,0.17081672,-0.1658344,-0.04095495
53099,0.16040453,-0.15511838,-0.040839963
53399,0.14269021,-0.1376679,-0.03752393
53699,0.13765065,-0.13004312,-0.045127496
53999,0.12270189,-0.11344796,-0.046747334
54299,0.12246145,-0.11071331,-0.052338984
54599,0.11287115,-0.099075906,-0.054072745
54899,0.10764485,-0.090656355,-0.058041703
55199,0.104230694,-0.086139165,-0.0586863
55499,0.09942242,-0.07526677,-0.06495945
55799,0.092008226,-0.0656042,-0.06451048
56099,0.086582355,-0.057683572,-0.064568646
56399,0.080384575,-0.04387509,-0.06735471
56699,0.07418033,-0.03141921,-0.067197874
56999,0.072373115,-0.01828044,-0.070026375
57299,0.07053128,-0.006085305,-0.07026827
57599,0.07239302,0.018884767,-0.069886446
57899,0.0759121,0.032013666,-0.06883149
58199,0.08322195,0.04391679,-0.07069094
58499,0.09387746,0.062613234,-0.06994684
58799,0.109361894,0.08284717,-0.07138887
59099,0.118481755,0.09700636,-0.06802714
59399,0.120088816,0.10215223,-0.06313672
59699,0.15598255,0.1387898,-0.071189515
59999,0.1796923,0.16072303,-0.08035816
60299,0.17992994,0.16562057,-0.0703179
60599,0.21205638,0.19685695,-0.07883685
60899,0.2137363,0.20254394,-0.068257995
61199,0.22222158,0.21220493,-0.06596589
61499,0.25755173,0.24770048,-0.07055044
61799,0.24542297,0.23634666,-0.0661263
62099,0.26218835,0.25249556,-0.070630774
62399,0.25543255,0.24872735,-0.058141917
62699,0.24321094,0.23761737,-0.0518608
62999,0.26236677,0.25771037,-0.04921069
63299,0.2773879,0.2726245,-0.051185034
63599,0.2669813,0.26380336,-0.04107062
63899,0.27086523,0.26831347,-0.037092436
64199,0.27279285,0.2703194,-0.036651816
64499,0.28228158,0.28041488,-0.032409545
64799,0.3055419,0.30392033,-0.031436834
65099,0.30359575,0.30310383,-0.017275658
65399,0.31772786,0.3167997,-0.024267945
65699,0.28522575,0.284701,-0.0172938
65999,0.30217135,0.30173913,-0.01615622
66299,0.34576583,0.34498978,-0.023152858
66599,0.31114143,0.31031868,-0.022611875
66899,0.31467164,0.31433016,-0.014655628
67199,0.3106964,0.30975735,-0.024137897
67499,0.34258354,0.34230426,-0.013829497
67799,0.33484158,0.33412737,-0.02185757
68099,0.3076552,0.30734086,-0.0139038535
68399,0.3309407,0.33073834,-0.011572132
68699,0.33573776,0.3353016,-0.017107446
68999,0.3555274,0.3550859,-0.017712831
69299,0.3407327,0.33988288,-0.024049625
69599,0.3383401,0.33720404,-0.027702915
69899,0.3412282,0.3395532,-0.03376803
70199,0.32932052,0.3284158,-0.024393475
70499,0.31037503,0.30952767,-0.02291894
70799,0.32133785,0.32045403,-0.023816347
71099,0.32712397,0.32659143,-0.018657839
71399,0.30284628,0.30231637,-0.017907796
71699,0.30526268,0.3045318,-0.0211112
71999,0.30475664,0.3037103,-0.025232133
72299,0.27471557,0.27384895,-0.021803765
72599,0.274571,0.27345607,-0.024718523
72899,0.28691545,0.28655213,-0.014434503
73199,0.28189227,0.2810507,-0.021765437
73499,0.27681684,0.27611712,-0.019669686
73799,0.2694702,0.26854753,-0.022280458
74099,0.25731218,0.25635254,-0.022202041
74399,0.25031352,0.2501191,-0.009864208
74699,0.2463606,0.24591663,-0.014783899
74999,0.2551216,0.254314,-0.020283207
75299,0.23323812,0.23284878,-0.013471167
75599,0.24327166,0.24284844,-0.014343249
75899,0.22996834,0.22910385,-0.019921469
76199,0.21602713,0.21551616,-0.014849384
76499,0.2150552,0.21490404,-0.008061611
76799,0.20610914,0.20581037,-0.011093621
77099,0.19981435,0.19964048,-0.008333723
77399,0.18890633,0.18845902,-0.012992028
77699,0.18410867,0.1838337,-0.010058586
77999,0.16834548,0.16833769,-0.0016219672
78299,0.1544687,0.15428416,-0.0075482344
78599,0.135035,0.13501374,0.0023951088
78899,0.11713393,0.11701857,0.005197294
79199,0.10913128,0.107642084,0.017967096
79499,0.08798753,0.08636497,0.016819531
79799,0.07763321,0.07431399,0.022457633
80099,0.0668964,0.06035518,0.028851023
80399,0.055457123,0.04606898,0.030872984
80699,0.043138657,0.027173629,0.033504292
80999,0.037760377,0.012527947,0.035621576
81299,0.041047122,-0.002534018,0.04096883
81599,0.050933957,-0.017283894,0.047911745
81899,0.06498142,-0.034826964,0.054860443
82199,0.0798868,-0.05241525,0.06028717
82499,0.091890655,-0.0684829,0.06126978
82799,0.110078186,-0.08790301,0.06625911
83099,0.1236488,-0.104287654,0.06643126
83399,0.1308565,-0.11354195,0.06505113
83699,0.14416416,-0.12680653,0.068581425
83999,0.15228765,-0.13533066,0.06983652
84299,0.1681223,-0.15209198,0.07164594
84599,0.17868423,-0.1634216,0.072259486
84899,0.188222,-0.17421392,0.07125326
85199,0.19396941,-0.18088521,0.07003339
85499,0.20460391,-0.19251248,0.06929431
85799,0.21948825,-0.20767546,0.071035184
86099,0.22825338,-0.21544233,0.07539372
86399,0.2390324,-0.22630475,0.07695871
