time,eps,shear,uu_turb,vv_turb,ww_turb,uw_turb,vw_turb,uv_turb,uu_wave,vv_wave,ww_wave,uw_wave,vw_wave,uv_wave,smoothed_shear
2020-07-16 20:10:01.000,2.8240568671974267e-05,28.24056867197427,0.0008221467899242371,0.000514556738034206,0.00025402694802898975,-0.00015387039700509277,1.5175015756223804e-05,-7.074792709852247e-05,0.000771007798341203,8.3087446481609e-05,6.890308494397857e-05,3.102590861458377e-05,-1.2041496352838876e-05,-5.2080013247553224e-05,
2020-07-16 20:15:01.062,2.2019983776573053e-05,22.019983776573053,0.0005815320752226995,0.0004911668610941014,0.00021710974361023111,-7.437401473930081e-05,3.052622638907739e-05,1.3992139541546672e-05,0.0011600824180328833,0.0001510304273051848,7.48727814143188e-05,-9.086268955040076e-05,3.511377101415777e-05,-0.0002695689761596802,25.425192209180594
2020-07-16 20:20:01.125,2.601502417899446e-05,26.015024178994462,0.0008896031067635468,0.000635865255624909,0.00023418415247291718,-0.0001712921990892578,1.4669953054627479e-05,6.112993981642384e-05,0.0016662938945965764,0.00015443812459129335,8.63740387626611e-05,-6.629001533204746e-05,-1.203275016273971e-05,-0.00030016340151046403,22.33037966164764
2020-07-16 20:25:01.187,1.895613102937541e-05,18.95613102937541,0.0006924694246396448,0.0005786662835230004,0.000295376576289908,-0.00018384732294155412,1.8631948824029967e-05,8.664204281586539e-06,0.001527751317130278,0.00010815357642355999,0.00010024600525671611,1.3242684622683644e-05,-2.6306871754684036e-05,-7.500850127243293e-05,21.186780134814924
2020-07-16 20:30:01.249,1.85891851960749e-05,18.5891851960749,0.0005336135729618486,0.0005232221745379071,0.00019070518752239946,-0.00010009239978484373,1.2923088726821437e-05,3.7083676586535845e-05,0.0018981791199570916,0.00015032951687335037,8.766703851226807e-05,5.241902034810871e-06,-3.2276473122695783e-06,-0.00024307734091920169,17.19712775711214
2020-07-16 20:35:01.312,1.404606704588611e-05,14.04606704588611,0.0006380106957170102,0.0004274744544903704,0.00016795270399959264,-0.00011889635192654054,8.80872588688255e-06,5.308711921323861e-05,0.0013400321292525125,0.00017947822289715462,8.357820590026364e-05,-1.928877658888267e-05,-1.0531450174769188e-05,-0.00027583161827332456,16.297841861599196
2020-07-16 20:40:01.374,1.6258273342836578e-05,16.258273342836578,0.0009464088600553457,0.00038140103798754206,0.00017578956657954623,-0.00018181580669899463,1.5077737736754693e-05,2.4782225130229767e-06,0.001507394259250185,0.00016181360482402527,7.587615508476745e-05,4.8682600829426065e-06,-1.370757779278162e-05,-0.00033298775093173203,16.431617884029592
2020-07-16 20:45:01.437,1.899051326336609e-05,18.99051326336609,0.0007105846441489425,0.0005039854806850414,0.00020835345502987404,-0.0001555897158204125,-4.5532860655143796e-05,0.00010644410282344563,0.0015924551032430196,0.0002298374642870248,7.006334680061665e-05,4.266087045314004e-05,-1.74185950950456e-05,-0.0002821520686622028,15.319270261507365
2020-07-16 20:50:01.499,1.0709024178319434e-05,10.709024178319433,0.00048101634776589954,0.00042473197334356945,0.0001385553992931363,-5.894781183355981e-05,5.302327861047116e-06,1.306871247346861e-05,0.0010547820245327395,0.00012964158760424394,4.548609790585781e-05,3.09370540323407e-05,-4.5176635923551804e-06,-0.00019369311937325167,12.688794968298906
2020-07-16 20:55:01.562,8.366847463211193e-06,8.366847463211194,0.0005492151264190441,0.0002835516453898358,0.00013739166505088695,-7.767510299705666e-05,3.429620596166153e-06,6.48557144610635e-05,0.0013924519954883027,0.00025013955042431845,7.059600600815593e-05,2.9047307656773292e-05,-3.1525898061480427e-05,-0.000441227478442726,9.246998121058583
