time,d50,d84
2500.0,54.08144270791929,72.16256425271276
5000.0,54.08144270791929,72.16256425271276
7500.0,54.08144270791929,72.16256425271276
10000.0,54.08144270791929,72.16256425271276
12500.0,54.08144270791929,72.16256425271276
15000.0,54.08144270791929,72.16256425271276
17500.0,54.08144270791929,72.16256425271276
20000.0,54.08144270791929,72.16256425271276
22500.0,57.581235297383785,76.55507682473522
25000.0,57.58294577717601,76.55544742615227
27500.0,57.58294577717599,76.55544742615227
30000.0,57.58294577717599,76.55544742615227
32500.0,57.58294577717599,76.55544742615227
35000.0,57.58294577717599,76.55544742615227
37500.0,57.58294577717599,76.55544742615227
40000.0,57.58294577717599,76.55544742615227
42500.0,57.58294577717599,76.55544742615227
45000.0,63.050291129345624,83.34824790972135
47500.0,63.061448421305826,83.60731758683303
50000.0,63.06129425857301,83.6065297706902
52500.0,63.06129503632913,83.60653212112415
55000.0,63.06129503318155,83.6065321142649
57500.0,63.06129503319283,83.60653211428411
60000.0,63.06129503319283,83.60653211428411
62500.0,63.06129503319283,83.60653211428411
65000.0,58.614843716230666,75.8201211830817
67500.0,57.58294577720113,76.55544742620609
70000.0,57.58294577717594,76.5554474261523
72500.0,57.58294577717594,76.5554474261523
75000.0,57.58294577717594,76.5554474261523
77500.0,57.58294577717594,76.5554474261523
80000.0,57.58294577717594,76.5554474261523
82500.0,57.58294577717594,76.5554474261523
85000.0,57.58294577717594,76.5554474261523
87500.0,54.081442707919926,72.16256425271713
90000.0,54.081442707919265,72.16256425271271
92500.0,54.081442707919265,72.16256425271271
95000.0,54.081442707919265,72.16256425271271
97500.0,54.081442707919265,72.16256425271271
100000.0,54.081442707919265,72.16256425271271
102500.0,54.081442707919265,72.16256425271271
105000.0,54.081442707919265,72.16256425271271
107500.0,54.081442707919265,72.16256425271271
110000.0,57.5829457393568,76.5554474050081
112500.0,57.58294577717599,76.55544742615227
115000.0,57.58294577717599,76.55544742615227
117500.0,57.58294577717599,76.55544742615227
120000.0,57.58294577717599,76.55544742615227
122500.0,57.58294577717599,76.55544742615227
125000.0,57.58294577717599,76.55544742615227
127500.0,57.58294577717599,76.55544742615227
130000.0,57.58294577717599,76.55544742615227
132500.0,57.58294577717599,76.55544742615227
135000.0,57.58294577717599,76.55544742615227
137500.0,57.58294577717599,76.55544742615227
140000.0,57.58294577717599,76.55544742615227
142500.0,57.58294577717599,76.55544742615227
145000.0,57.58294577717599,76.55544742615227
147500.0,57.58294577717599,76.55544742615227
150000.0,57.58294577717599,76.55544742615227
152500.0,57.58294577717599,76.55544742615227
155000.0,57.58294577717599,76.55544742615227
157500.0,57.58294577717599,76.55544742615227
