seconds,1.21,1.6,1.89,2.23,2.63,3.11,3.67,4.33,5.11,6.03,7.11,8.39,9.9,11.7,13.8,16.3,19.2,22.7,26.7,31.6,37.2,43.9,51.9,61.2,72.2,85.2,101.0,119.0,140.0,165.0,195.0,230.0,273.0,324.0,386.0,459.0
299,0.0,0.0,0.0,0.0072000755833333,0.0987760116666666,0.3736847333333333,0.319400575,0.255482275,0.4680059083333333,0.7709549083333334,0.6692488249999999,0.5663367833333334,0.511529725,0.5653233666666666,0.6423849,0.7534865249999999,0.7893995666666667,0.8815662166666667,0.827329275,0.8300382583333333,0.8318337083333333,0.9427550333333332,1.197161475,1.5474299166666667,1.6558436666666665,1.7041882583333332,1.6754647333333332,1.5464585999999998,1.3243292416666668,1.0664865416666665,0.8339668158333334,0.6411689341666666,0.4705227836666666,0.3061934461666666,0.1664197083333333,0.0708700179166666
598,0.0,0.0,0.0,0.0074340121666666,0.1019246308333333,0.3840378333333333,0.3251404333333333,0.2568745666666667,0.4686488916666667,0.7699071666666666,0.6684517333333333,0.5676324000000001,0.5145872666666667,0.5710505666666666,0.6514127083333333,0.76757305,0.8090918249999999,0.910449025,0.8619097916666667,0.8680957166666669,0.87353505,0.9835558,1.230536325,1.5540801666666666,1.6242483666666665,1.641937025,1.606335091666667,1.5136769416666669,1.399248,1.3632928883333333,1.3789515116666669,1.1878440616666668,0.8085295190833334,0.5173748542500002,0.3009829264999999,0.1084645559166666
899,0.0,0.0,0.0,0.00741750175,0.1026643199999999,0.3884363916666666,0.3290480666666667,0.2602521083333333,0.4757510583333333,0.7825039833333333,0.67871435,0.575276375,0.5207269083333333,0.5768346083333333,0.6562074499999999,0.7694792916666666,0.8063979499999999,0.901972475,0.8478416416666668,0.8500443166666666,0.8513497416666667,0.95713335,1.1983670583333332,1.517693041666667,1.5934013333333332,1.6222559583333331,1.5976760916666668,1.498572308333333,1.3193836,1.0947961666666666,0.8627159874999999,0.6377575849999999,0.4279316291666666,0.2519627707499999,0.12503382175,0.0506626060833333
1198,0.0,0.0,0.0,0.0077759103333333,0.1053015016666666,0.393269275,0.3325498083333333,0.263245375,0.4805858166666666,0.7916624250000001,0.6928376333333333,0.5935047833333333,0.5421973333333334,0.6050896916666666,0.69183235,0.8134137083333334,0.8534028333333333,0.954221525,0.8974435916666667,0.8998786083333333,0.901542575,1.0139648583333334,1.26834655,1.600646,1.6717966666666666,1.6906771166666668,1.6524602083333335,1.5344562583333332,1.3338102833333332,1.0908001333333333,0.8530477083333333,0.6502189349999999,0.5064882296666666,0.43893925,0.3834297559999999,0.2190832484999999
1499,0.0,0.0,0.0,0.0077929288333333,0.1063081241666666,0.399076375,0.3381453666666666,0.2678555166666666,0.4895810166666666,0.8075690416666668,0.7074706250000001,0.6064724166666667,0.5547183250000001,0.6200955666666667,0.7100586583333334,0.8359395333333333,0.8769731833333333,0.9791644083333334,0.9179568416666668,0.916971425,0.9149154583333332,1.02924345,1.2930850416666668,1.6554484166666668,1.7644757583333337,1.8198496333333332,1.7992103083333333,1.6737316666666666,1.4517906833333332,1.188806858333333,0.9327726833333332,0.7046543116666667,0.5063733866666666,0.3219450910833333,0.1641701641666666,0.0664787581666666
1798,0.0,0.0,0.0,0.008080105,0.1083960425,0.40296965,0.3409769416666667,0.2700833833333333,0.4921326666666666,0.8108443083333333,0.7141202,0.6162091583333333,0.5670728500000001,0.6366348166666668,0.7305728583333334,0.8606002166666666,0.9034655833333332,1.0091422083333332,0.94718925,0.9458671333333332,0.9435020166666666,1.059215575,1.324751,1.6849715833333334,1.7874348333333332,1.84564825,1.8465357916666667,1.7518992416666668,1.5417760166666667,1.26728995,1.01307209,0.8065953975,0.6138736774999999,0.40124635225,0.2031262156666667,0.0770302360833333
2099,0.0,0.0,8.688191666666667e-05,0.0092341289166666,0.1226128091666666,0.4424283583333333,0.3553649666666666,0.2761989583333333,0.5033192249999999,0.8275248249999999,0.7239577075,0.61537178,0.5546258058333334,0.6031804445833333,0.6688324668333333,0.7744494204166666,0.8142528346666668,0.9400947625833334,0.9461547980833334,1.0578269991666664,1.2375578083333332,1.8345307583333332,3.971653166666667,7.97850875,6.803537666666668,3.9684075,2.9026675,3.065012358333333,5.468541541666667,21.787961433333333,70.81028354166668,27.23296676166667,3.6727014533333335,1.1081901630833333,0.8468161892499999,0.38884249425
2398,0.000444055,0.00111805,0.0021018334166666,0.0124836232499999,0.1229790325,0.429151325,0.3551331,0.28280915,0.5170297749999999,0.8569081333333333,0.7645672716666667,0.6689512275000001,0.6240072705833335,0.6950361795833333,0.7756323249999999,0.8959941333333333,0.9395293583333334,1.0743110885,1.0736902508333337,1.1754185916666666,1.3257163833333332,1.781951616666667,3.057338166666667,4.901816833333333,4.2107445,3.136166425,2.7652358416666667,2.985944925,4.639177491666667,13.172547291666667,35.27992899166666,16.512370085833332,4.159937839166666,1.8968100749166663,2.699394946583333,2.2736022245000003
2699,0.0,0.0,1.2878833333333333e-05,0.0077541324166666,0.1103334925,0.4237747083333333,0.3576980333333334,0.2846455499999999,0.5299854333333334,0.885373625,0.7692042166666666,0.6491665916666667,0.5853278258333333,0.6447765625,0.7282969193333333,0.8551475982499999,0.9017783614166668,1.0285470891666668,0.9971076733333334,1.051419525,1.1351037666666668,1.4685323,2.411316,3.669748333333333,3.20679375,2.4239975,2.088146833333333,2.0197510833333334,2.558906525,8.218993808333332,23.3421837775,6.756286164166667,1.3311107910833333,0.6207393708333334,0.3815204460833333,0.1424845076666666
