time,d50,d84
2500.0,75.36586112360852,98.85104154012342
5000.0,75.36586112360852,98.85104154012342
7500.0,75.36586112360852,98.85104154012343
10000.0,75.36586112360852,98.85104154012342
12500.0,75.36586112360852,98.8510415401234
15000.0,75.36586112360852,98.85104154012342
17500.0,75.36586112360852,98.85104154012342
20000.0,75.36586112360852,98.85104154012342
22500.0,56.177747765462655,73.71278280970047
25000.0,56.177747765462854,73.71278280970063
27500.0,56.177747765462854,73.71278280970063
30000.0,56.177747765462854,73.71278280970063
32500.0,56.177747765462854,73.71278280970063
35000.0,56.177747765462854,73.71278280970063
37500.0,56.177747765462854,73.71278280970063
40000.0,56.177747765462854,73.71278280970063
42500.0,56.177747765462854,73.71278280970063
45000.0,61.41688949709829,80.58881499399014
47500.0,61.41688877796561,80.58881399284212
50000.0,61.41688877796561,80.58881399284212
52500.0,61.41688877796561,80.58881399284212
55000.0,61.41688877796561,80.58881399284212
57500.0,61.41688877796561,80.58881399284212
60000.0,61.41688877796561,80.58881399284212
62500.0,61.41688877796561,80.58881399284212
65000.0,56.169625831661165,73.70453491732823
67500.0,56.17774776546286,73.71278280970064
70000.0,56.17774776546286,73.71278280970064
72500.0,56.17774776546286,73.71278280970064
75000.0,56.17774776546286,73.71278280970064
77500.0,56.17774776546286,73.71278280970064
80000.0,56.17774776546286,73.71278280970064
82500.0,56.17774776546286,73.71278280970064
85000.0,56.17774776546286,73.71278280970064
87500.0,75.35804510700964,99.1439387246804
90000.0,75.35804510700964,99.1439387246804
92500.0,75.35804510700964,99.1439387246804
95000.0,75.35804510700964,99.1439387246804
97500.0,75.35804510700964,99.1439387246804
100000.0,75.35804510700963,99.14393872468038
102500.0,75.35804510700964,99.14393872468041
105000.0,75.35804510700964,99.1439387246804
107500.0,75.35804510700964,99.1439387246804
110000.0,56.177747765462854,73.71278280970063
112500.0,56.177747765462854,73.71278280970063
115000.0,56.177747765462854,73.71278280970063
117500.0,56.177747765462854,73.71278280970063
120000.0,56.177747765462854,73.71278280970063
122500.0,56.177747765462854,73.71278280970063
125000.0,56.177747765462854,73.71278280970063
127500.0,56.177747765462854,73.71278280970063
130000.0,56.177747765462854,73.71278280970063
132500.0,56.177747765462854,73.71278280970063
135000.0,56.177747765462854,73.71278280970063
137500.0,56.177747765462854,73.71278280970063
140000.0,56.177747765462854,73.71278280970063
142500.0,56.177747765462854,73.71278280970063
145000.0,56.177747765462854,73.71278280970063
147500.0,56.177747765462854,73.71278280970063
150000.0,56.177747765462854,73.71278280970063
152500.0,56.177747765462854,73.71278280970063
155000.0,56.177747765462854,73.71278280970063
157500.0,56.177747765462854,73.71278280970063
