,rmse,skill
299,,
598,,
899,1.120222862421562,-9.953436118365518
1198,,
1499,0.8778583842508313,-3.1269238146149085
1798,0.9656336918563821,-3.05501423978357
2099,4.874179578048412,-0.1251210228448265
2398,2.9021099610563734,-0.18222572836907247
2699,2.0457212301177226,-0.23233592386730506
2999,0.846905758741147,-3.4294110049290722
3298,1.2214225549244895,-0.9779617043099056
3599,1.9263287362999268,-0.27024102758427304
3898,,
4199,3.2219700028250995,-0.24175209852151225
4498,0.9898841172882624,-4.053093561870659
4799,0.9069762193069013,-1.9633516156639912
5098,0.8524486891991747,-3.8331344994226786
5399,1.005741612067471,-5.893845636232747
5699,0.8363810675553442,-5.601641367158225
5998,1.121799338813724,-2.5549860984011517
6299,0.9733209760369765,-2.0380965897897965
6598,1.0875311323558443,-3.583014730048812
6899,1.2645322492280693,-5.269660701176709
7198,1.0000151401174993,-3.235678333069118
7499,,
7798,,
8099,,
8399,0.9561449539020723,-2.964458741415726
8698,1.0420376652776522,-6.714857159275774
8999,1.143855131517601,-7.702853161681158
9298,,
9599,,
9898,,
10199,,
10498,,
10799,,
11099,,
11398,,
11699,,
11998,,
12299,,
12598,,
12899,,
13198,,
13499,,
13799,,
14098,,
14399,,
14698,,
14999,,
15298,,
15599,,
15898,,
16199,,
16499,,
16798,,
17099,,
17398,,
17699,,
17998,,
18299,,
18598,,
18899,,
19199,,
19498,,
19799,,
20098,,
20399,,
20698,,
20999,,
21298,,
21599,,
21899,,
22198,,
22499,,
22798,,
23099,,
23398,,
23699,,
23998,,
24299,,
24599,,
24898,,
25199,,
25498,,
25799,,
26098,,
26399,,
26698,,
26999,,
27299,,
27598,,
27899,,
28198,,
28499,,
28798,,
29099,,
29398,,
29699,,
29999,,
30298,,
30599,,
30898,,
31199,,
31498,,
31799,,
32098,,
32399,,
32699,,
32998,,
33299,,
33598,,
33899,,
34198,,
34499,,
34798,,
35099,,
35399,,
35698,,
35999,,
36298,,
36599,,
36898,,
37199,,
37498,,
37799,,
38099,,
38398,,
38699,,
38998,,
39299,,
39598,,
39899,,
40198,,
40499,,
40799,,
41098,,
41399,,
41698,,
41999,,
42298,,
42599,,
42898,,
43199,,
43499,,
43798,,
44099,,
44398,,
44699,,
44998,,
45299,,
45598,,
45899,,
46199,,
46498,,
46799,,
47098,,
47399,,
47698,,
47999,,
48298,,
48599,,
48899,,
49198,,
49499,,
49798,,
50099,,
50398,,
50699,,
50998,,
51299,,
51599,,
51898,,
52199,,
52498,21.038998183436885,-7.074217785375296
52799,11.714852892926395,-0.39743891330185677
53098,13.229770816823594,-0.2587071593371788
53399,9.562225101123328,-0.2189068981079254
53698,23.238402464178126,-0.2841480644092458
53999,41.68441822854757,-0.18278670500858873
54299,64.82658075709001,-0.2514069510978467
54598,89.12932390794704,-0.21011859031048452
54899,,
55198,1.4211715249219863,-0.25745686670233825
55499,1.789426673469897,-0.2956482015124302
55798,79.19653304354823,-0.2654055900947476
56099,59.093873117977246,-0.48415646063081286
56398,29.547053754920018,-1.0247391992854884
56699,14.606661926339699,-2.480205011483616
56999,29.40274095127966,-0.6970753560313945
57298,1.9449569544504663,-0.6775127180960985
57599,2.2283984679942725,-0.7736577431607525
57898,2.217283714368602,-0.7430061234644614
58199,2.160490527484905,-0.8311182563271378
58498,2.43769177087726,-1.0531456066050349
58799,4.090106958688448,-7.203158381783618
59098,,
59399,,
59699,2.586583228141317,-2.001145248321777
59998,2.4179337901307814,-5.6768305304425155
60299,,
60598,1.4507834664678863,-0.7033417502809975
60899,1.3149579025854108,-0.9091954014385435
61198,1.3597983341313036,-1.2776110908301188
61499,1.4282139474514643,-1.7166454839702765
61798,0.9669915219320424,-1.3430751107039551
62099,1.0140890757433558,-1.6511603673290365
62399,0.9941975879053234,-3.068214447324218
62698,3.5680335196708057,-0.409094805939368
62999,1.2451962186201198,-6.427581240535227
63298,16.37318228570611,-0.3544846695670443
63599,3.078828454559032,-0.3267265001927029
63898,1.112987285911692,-1.9225714636182123
64199,0.9136077771161398,-1.3554877626347999
64498,0.9390980807417891,-2.6625898739499823
64799,0.8157734558737079,-0.8217547165004191
65099,0.848167437511173,-1.6133584050575496
65398,,
65699,1.1625245612039405,-7.961398992664856
65998,,
66299,,
66598,1.0421553593761252,-6.5126234585992275
66899,,
67198,,
67499,,
67799,,
68098,0.624359036493828,-0.8582489251905507
68399,,
68698,,
68999,,
69298,,
69599,,
69898,1.0065627645221245,-4.774475399242769
70199,0.9438104389151913,-3.4347766072189305
70499,0.9334098817645599,-2.7985857084364443
70798,2.588390396313073,-1.4166417981535053
71099,0.9248254285215077,-2.281963912731577
