,rmse,skill
299,1.1593389567978314,-6.046996119729343
598,1.1683992734066277,-5.763458574310363
899,,
1198,1.3851603668776857,-9.586738543661319
1499,1.4026548115851039,-7.776658325935239
1798,1.3998986062587147,-7.274545897705458
2099,5.15341800921065,-0.11545467177929081
2398,3.6973055376990676,-0.22207436868022623
2699,2.7163006482972145,-0.3039886693149927
2999,1.6589009018076042,-9.154877343949172
3298,1.9449225122842226,-1.514337924474149
3599,2.6048966265828333,-0.41655933969075987
3898,1.4667927328044315,-6.4867517136205475
4199,3.6424035109888373,-0.2080035500864501
4498,1.4822804634381581,-5.76169231557432
4799,1.4454254259433201,-5.744129887436319
5098,1.447111468422487,-6.744625229136648
5399,1.3790273417972865,-6.135346647806872
5699,1.3626703204153416,-5.544654535751037
5998,1.4950542535768114,-2.7209571422192056
6299,1.2546526465897236,-3.0457221506976477
6598,1.337132232901453,-4.838863427680348
6899,1.2069806970893007,-2.8124013898159426
7198,1.2297135622275663,-3.3681878909320293
7499,1.2153066937443935,-2.516008189615527
7798,1.2094509480059672,-2.437312803528623
8099,1.1777611386772637,-1.949223009349562
8399,0.7386024094802306,-0.7032668478574711
8698,0.727860093012638,-0.6939565840640285
8999,0.7079059397788416,-0.6475262489139708
9298,0.7040711573200844,-0.6055942117180613
9599,0.7082048644728622,-0.6330302984179417
9898,,
10199,,
10498,,
10799,,
11099,,
11398,0.9026585670902075,-1.7173225207645326
11699,1.0134432488294687,-1.6631911903151724
11998,1.0223128074290058,-1.6630562059479814
12299,1.1611505858202156,-1.5660797231019128
12598,1.1903176503896602,-1.4713460852071645
12899,1.5235454826621593,-2.715732068501086
13198,1.4663032436598444,-2.794450958943389
13499,2.288354560333455,-1.7863665009661145
13799,1.846329768363548,-2.0532029081773557
14098,1.6455812537871592,-2.3757910311885713
14399,1.6888072863423877,-1.050517106212244
14698,1.6983277558076653,-1.0599962938086573
14999,1.9590775757382213,-1.029838891910575
15298,2.414063974106277,-0.9770986154089298
15599,2.347954669948869,-1.0521847749174364
15898,2.642786038613255,-1.3343324980739184
16199,2.390875776212792,-1.3396515671247928
16499,2.635463070826218,-1.2592023895341367
16798,2.589741514712792,-1.1914323163582368
17099,2.627770921717422,-1.3707110453247076
17398,2.5235527245892717,-1.1542804085254104
17699,2.3932126433323275,-1.1272618596728123
17998,2.3825024467559386,-1.1717868588752713
18299,2.0365544515568645,-1.2138859885357043
18598,1.9861838127142717,-1.2469820683503685
18899,1.6673516576761176,-0.6950466849918859
19199,1.4118538822280795,-0.6223820137473832
19498,1.2796591747952093,-0.5869174517737157
19799,1.1970827700731965,-0.6065933457865607
20098,1.1242009214688204,-0.5673082309622368
20399,1.6939793476584422,-0.5225480198375911
20698,1.0456685361908495,-0.655560991886629
20999,1.117260650906127,-0.7962737228958734
21298,0.9933240366283491,-0.6653829029615517
21599,0.9627567040763417,-0.6394268254190096
21899,1.054213758168796,-0.8802897313831628
22198,1.0338006144859255,-0.9394446918392056
22499,1.015095976397963,-0.8812876353405621
22798,0.9018828666780553,-0.8700018385479318
23099,0.9859114659836108,-0.906665064802058
23398,0.8527907403186256,-0.5040002573506441
23699,0.9676012413567001,-0.47656003576317785
23998,0.8504546535424632,-0.498573323339246
24299,1.0324421132150057,-0.47977457004697
24599,0.7867915540540372,-0.5683059007028026
24898,0.8479368291893352,-1.092087461772714
25199,0.8110025669066434,-1.1328831619665212
25498,0.8302118972912421,-1.2338016527323203
25799,0.8060919378792051,-1.3337517040270193
26098,0.7741518065250383,-1.396783181259635
26399,1.7829663563938543,-5.913415298849605
26698,1.7711711566313182,-6.115916662339961
26999,1.756891741508633,-6.839977307590151
27299,1.7424466590109478,-7.390918916342956
27598,1.81821415104567,-5.298071207997601
27899,1.757491095367869,-6.300122356247617
28198,1.7633225287845877,-7.139958341331688
28499,1.7444556417614394,-7.101496741641007
28798,1.7424320478522564,-9.671962282173862
29099,1.8175208216942578,-5.133653570728445
29398,0.8801473021430469,-1.0060985774865716
29699,0.9201866389727359,-0.9490039738881748
29999,0.9432783580435097,-0.8024500421817851
30298,0.9137917176245283,-1.0200571569388504
30599,0.9302377537888804,-0.8287101947419178
30898,,
31199,,
31498,,
31799,,
32098,,
32399,,
32699,,
32998,,
33299,,
33598,,
33899,,
34198,,
34499,,
34798,,
35099,,
35399,,
35698,,
35999,14.099504321201643,-4.7693327126272465
36298,,
36599,,
36898,,
37199,10.88505710611053,-0.8585861998692572
37498,,
37799,,
38099,3.5861894653628434,-6.937739152546717
38398,,
38699,,
38998,,
39299,99.40863195027174,-0.5471489165329064
39598,,
39899,0.4408488510647344,-0.9674431130883414
40198,0.4031331915916851,-1.1243140663238451
40499,0.4819136869954996,-0.6807588255162649
40799,0.41384451889943846,-1.0465120564703492
41098,0.4417001630637904,-0.9589230597874545
41399,0.7529182816306326,-5.5048082066382795
41698,0.7926085319047136,-3.9317048935637056
41999,0.8080721126954473,-4.104210874086466
42298,0.7898240648597993,-4.382637920667323
42599,0.9596954701491511,-3.3680016832992203
42898,0.6905896608038621,-2.9417187596894676
43199,0.6827292016557139,-2.986396248078648
43499,0.6982042214774732,-2.6847257004532543
43798,0.6848294219473806,-3.117505215254294
44099,1.0086747466966572,-2.6636181818707505
44398,41.15165938238402,-0.20398180959479784
44699,0.9082643353175277,-8.03012620669484
44998,,
45299,0.9052161259656758,-8.623096914316305
45598,0.9142043321323423,-9.052626796484926
45899,0.735418487767496,-9.177822292470093
46199,0.777145579593885,-7.049932000429521
46498,0.7562984411100886,-7.811219437946773
46799,0.7738192545637923,-7.142786526661705
47098,0.7757367952582367,-7.5414633738300605
47399,0.6034529652846553,-2.246760152386335
47698,0.6503412058610442,-2.619296529165613
47999,0.626620974988359,-2.4299143505739873
48298,0.9277764185300256,-1.2142474906698681
48599,0.748310700425859,-2.436473578569867
48899,0.9689369623095911,-0.0009068581971771739
49198,1.2924091002363014,-0.32172451611690644
49499,0.8637238111093942,-0.15690158024840506
49798,1.3767639084854428,-0.08813621350875067
50099,2.783883532671412,-0.14843049875662007
50398,3.5517960225178853,-0.19188031563023
50699,5.983286645130891,-0.1762399160699002
50998,6.425861912027868,-0.19779117097736365
51299,8.704728597791757,-0.16734348796224863
51599,7.295593127988515,-0.18713850184290348
51898,3.72459429499545,-0.2183090641655525
52199,9.17251479862492,-0.20179064406826108
52498,8.949981413481401,-0.21097465405848514
52799,10.941890430778479,-0.2720459251011904
53098,12.873999479888015,-0.28854293483803906
53399,9.488630036550438,-0.27350185983280517
53698,22.68286278293597,-0.27799872578570706
53999,41.33760994274384,-0.1908272570248224
54299,64.62237269429708,-0.2588535321641934
54598,88.58865952041144,-0.2124629234480615
54899,,
55198,1.5564800739075109,-0.1706832692633249
55499,1.7815275550940572,-0.17785484934829143
55798,77.96519897044324,-0.25638702670002655
56099,52.74197183077195,-0.28816700406455364
56398,23.5295674925316,-0.29099469684531276
56699,10.03432735569509,-0.39729071085260004
56999,29.392033136731317,-0.693710370556013
57298,1.7558710727406381,-0.42639433405071303
57599,1.9148224144489707,-0.464578169582784
57898,2.2746270618399405,-0.8035449441629923
58199,2.2290391937751255,-0.7473413173269863
58498,2.335619992249663,-0.7447693284780927
58799,2.2084277854279035,-0.7171575611217784
59098,2.2230484866292923,-0.6938475960324963
59399,2.0595692283484124,-0.584637381247628
59699,1.8568355697789671,-0.5656019566741215
59998,1.6071632473783415,-0.4381405905454592
60299,1.427200874297323,-0.3756872727479763
60598,1.2553648216051938,-0.3347315715003216
60899,1.0509424976176964,-0.17009222458771567
61198,1.1266567096600903,-0.4045668744520845
61499,0.9527014408637942,-0.1153207176209694
61798,0.7172186107033729,-0.08038290029766859
62099,0.6820549382125526,-0.01640359936536462
62399,0.647857174188644,-0.051353308884913185
62698,3.094034766661031,-0.19653208019840496
62999,0.6704522162164217,0.023653729887957553
63298,16.235036116346215,-0.3599228079809591
63599,2.717926636716492,-0.16102803844694447
63898,0.6365517427560309,0.17248591745627162
