,rmse,skill
299,,
598,,
899,,
1198,,
1499,,
1798,,
2099,4.731490252042655,-0.021718097820266458
2398,3.343440308193451,-0.149277976430509
2699,2.7546442718165425,-0.35819776439317264
2999,,
3298,1.7757909998863939,-2.782553670817951
3599,2.2887326923114455,-0.22407112432014542
3898,,
4199,2.47450206728133,0.3666008627448726
4498,,
4799,,
5098,,
5399,,
5699,,
5998,,
6299,,
6598,,
6899,,
7198,,
7499,,
7798,,
8099,,
8399,,
8698,,
8999,,
9298,,
9599,,
9898,,
10199,,
10498,,
10799,,
11099,,
11398,,
11699,,
11998,,
12299,,
12598,,
12899,2.3526438596744854,-7.543273883405915
13198,,
13499,2.387047621603498,-1.8418236051646462
13799,3.139556964772347,-6.264527678823113
14098,,
14399,3.2597671437585056,-7.0308062923298245
14698,,
14999,2.7565618435686305,-2.678972971251486
15298,2.6760085200017225,-1.1571742905784905
15599,2.9797009514450985,-1.951954252294227
15898,2.6100894379307262,-1.1110863364851435
16199,3.107834435024647,-2.669710128915147
16499,2.7704270874301367,-1.2591715336812856
16798,3.095628561381557,-1.6199936736955727
17099,2.5640679467880987,-1.2084884517793708
17398,2.7582793445251848,-1.3972489803727335
17699,,
17998,4.216733162215529,-8.542051415069771
18299,2.583302814271567,-2.824360641450869
18598,3.033742529661554,-4.548927946270046
18899,2.572208704313182,-2.7329086432500875
19199,,
19498,,
19799,,
20098,2.495664840217039,-7.3601595614171575
20399,2.8070444608238168,-2.516600271896952
20698,,
20999,,
21298,,
21599,,
21899,,
22198,,
22499,,
22798,,
23099,,
23398,,
23699,,
23998,,
24299,2.2877555110801713,-9.149187921147512
24599,,
24898,,
25199,,
25498,,
25799,,
26098,,
26399,,
26698,,
26999,,
27299,,
27598,,
27899,,
28198,,
28499,,
28798,0.18751679871726912,0.6125493605550804
29099,0.16187687126601386,0.8041907248874363
29398,0.20938666877513945,0.7135437765697257
29699,0.1592315706458516,0.8444785024974729
29999,0.16944736093575333,0.8275936036395241
30298,0.1766077607251051,0.8370076206544023
30599,0.19047226060241998,0.7904475568595266
30898,0.22627417589871623,0.7302861763365843
31199,0.2680165877923566,0.6052192378667594
31498,0.20503181066723475,0.7924153468932835
31799,0.2428748050145789,0.6753323158718071
32098,0.23856558700273967,0.7200964584839284
32399,0.27078256403514694,0.3434948271390975
32699,0.22143752221570256,0.7222493496370559
32998,0.26141643400505443,0.6868255850628389
33299,0.21739098540088767,0.7781464857016951
33598,0.48617624585509617,0.5919588209314937
33899,0.22942028546121623,0.7303287698589539
34198,0.23517562827814803,0.7676803089305971
34499,0.9563195254822447,0.043875732347608665
34798,0.29261228697041636,0.5413443025906929
35099,0.2947343368016159,0.1641512381673894
35399,0.34043435931060995,-0.5614535559799878
35698,0.40077977527191966,0.37136648627238367
35999,5.102783844008327,-0.12131938514762908
36298,1.7508567316671972,-0.10470823565558951
36599,0.877300033271774,0.2767583189063739
36898,0.37603307849603657,-1.8240043113042423
37199,8.11209219039879,-0.20489622614157788
37498,0.4920426177075611,0.3035162150436078
37799,0.8090089379850722,0.1959200856188985
38099,1.2574649006566339,0.07011692612347076
38398,0.3927496535182298,0.3100790558091604
38699,0.3865322312320425,-0.6968404928419267
38998,0.4007212059956174,0.40972019176527397
39299,97.56817856730613,-0.49411623791520687
39598,0.3893693097304544,-2.554653691047882
39899,0.3395088972909049,-1.5440164515198345
40198,0.37441893883951605,-2.3588358547649504
40499,0.37282671323271005,-0.8470283911335819
40799,0.3797120044575715,-2.4391084065404396
41098,0.34189688153859,-1.614626981682716
41399,0.3289360871907651,-1.7136175211331586
41698,0.30964750237512434,-0.907670501307223
41999,0.29915685065553643,-0.8164998955067013
42298,0.31374902194025867,-1.1627748343403495
42599,0.317161342590421,0.07921719693049922
42898,0.3045146385030192,-0.7958767631216224
43199,0.3130681580960887,-0.9288342653828783
43499,0.33157892248314375,-0.9377047910047549
43798,0.32903958939749556,-1.1308346601211574
44099,0.4116424877608068,0.047514844262777634
44398,40.20477026878486,-0.17053451007033993
44699,0.37131151133544604,-1.6304372114709769
44998,0.35750388752158974,-0.8446927962489461
45299,0.38647795983726146,-1.9925905576824237
45598,0.36903989173384394,-1.910186351908917
45899,0.3648994895588614,-1.796225279898295
46199,0.39609700883228116,-1.362560512591656
46498,0.3926429939179292,-1.601347014483753
46799,0.3875556360244107,-1.3472306981144002
47098,0.3890538930938552,-1.4019619760550883
47399,0.3688134703324286,-1.2090864351240938
47698,0.427991852677336,-1.2082520915420258
47999,0.3758673628139101,-1.0396699642858382
48298,0.6006706393871637,-0.15843227443175079
48599,0.4986634347606694,-0.6457695281008393
