,rmse,skill
299,,
598,,
899,,
1198,,
1499,,
1798,,
2099,4.45497210257036,-0.020499078396576387
2398,3.2203993496219248,-0.002926977336279668
2699,2.354414623140878,-0.0702985144485635
2999,,
3298,1.7790209213488302,-2.8920387771080645
3599,2.065623115024267,-0.09486548116604543
3898,,
4199,2.416829652476874,0.3351689535748752
4498,,
4799,,
5098,,
5399,,
5699,,
5998,,
6299,,
6598,,
6899,,
7198,,
7499,,
7798,,
8099,,
8399,,
8698,,
8999,,
9298,,
9599,,
9898,,
10199,,
10498,,
10799,,
11099,,
11398,,
11699,,
11998,,
12299,,
12598,,
12899,2.7178549546246566,-8.85104932429131
13198,2.7168508417823536,-9.929916707105518
13499,2.444317568787541,-1.9649446099855794
13799,2.8207797662401735,-5.072700439726141
14098,2.6366984641758595,-6.68872400910547
14399,2.6868966400608265,-4.537635537646974
14698,2.6940643107726836,-4.687920213377237
14999,3.4420682386674577,-5.67618629202176
15298,2.91817643682837,-1.3854823825144007
15599,2.9205658306044033,-1.7876317853306305
15898,2.7481216452866173,-1.459382536340598
16199,3.090195909663044,-2.661143691231962
16499,2.738101574224486,-1.2821219958499115
16798,3.1565257485092393,-1.6222039017319054
17099,2.786554173707764,-1.5323077887111998
17398,3.0573298758991787,-1.8765602999313615
17699,2.590825311470603,-1.5309776671968223
17998,2.9594909048762568,-2.1997545116718897
18299,2.597638056163381,-3.0814663615995954
18598,2.754672671351015,-3.805810419797827
18899,2.2016538638401575,-2.084780820899177
19199,2.6864422325771473,-4.692377133429828
19498,2.3934455724485657,-4.842072962200922
19799,2.9703926809968273,-9.004796426968404
20098,2.3972937843917945,-7.0101304022752675
20399,2.8899415333870087,-2.6574825092179517
20698,,
20999,2.4897719747333182,-9.446864518249207
21298,,
21599,,
21899,2.0937454333363696,-9.325234225632864
22198,,
22499,,
22798,,
23099,,
23398,,
23699,,
23998,,
24299,2.2072688687903317,-9.027626766912885
24599,,
24898,,
25199,,
25498,,
25799,,
26098,,
26399,,
26698,,
26999,,
27299,,
27598,,
27899,,
28198,,
28499,,
28798,0.19092813768504752,0.15043375289368421
29099,0.16681077244407413,0.7436706281479531
29398,0.20079308260287393,0.5663936957313283
29699,0.15780954098895847,0.7034573473285465
29999,0.18902027694607007,0.7609401892443339
30298,0.17768748097911935,0.6335592929447913
30599,0.1922203126755911,0.7286456925777296
30898,0.23199544690707252,0.7038854047395362
31199,0.25394287980693186,0.36641905033356303
31498,0.20270293272680456,0.6294731589969216
31799,0.22894319517730224,0.40761504175569896
32098,0.22863067811019805,0.4591547355935207
32399,0.25915689490736576,-0.1652338963155715
32699,0.21050041349908694,0.4020470704201009
32998,0.24663287691430455,0.5249250835570264
33299,0.20274227541684967,0.5657632848758216
33598,0.4228499680912138,0.6435767797791874
33899,0.21397822436491623,0.4209092447314755
34198,0.21402181317208388,0.5927647732049487
34499,0.9048994201113122,0.14796317659198022
34798,0.2699168937578941,0.4238800688851355
35099,0.28709910727322296,-0.3988510678579358
35399,0.3528660348276845,-1.4728339608343122
35698,0.3875257244711414,0.20469559702404516
35999,5.0118719676607,-0.11615615219949804
36298,1.6613873120234541,-0.04828836075842324
36599,0.830939113080696,0.3460231157158723
36898,0.4177970401702771,-3.3032139060244097
37199,8.058852384338506,-0.1956059041892304
37498,0.48154046421078917,0.2100230607707082
37799,0.8049692707290579,0.21958510138465426
38099,1.25601335599912,0.06720679178067801
38398,0.40886109404291077,0.07160487365974222
38699,0.4071357874415483,-1.4087463064863655
38998,0.39857740338039666,0.17770401939034453
39299,97.52251236426532,-0.4924379790780511
39598,0.4340557662018702,-4.219094647990577
39899,0.38665601115526693,-2.8842925979534497
40198,0.41881747926217183,-3.977441975246559
40499,0.4265504211303609,-1.7327559290498566
40799,0.42458362867652366,-4.074318926750635
41098,0.38980542742616936,-2.977042826666712
41399,0.3737350797595027,-3.086873435001375
41698,0.3610175836708367,-1.9863060286209637
41999,0.3513021773027812,-1.8527813861178766
42298,0.3659466652183162,-2.2839682361422624
42599,0.3232264632004335,-0.3665897815715038
42898,0.35745468390997276,-1.7681893766185466
43199,0.3644709262962171,-1.955713529467073
43499,0.38511423231889225,-1.927535561143328
43798,0.38140488733325406,-2.2154676100542656
44099,0.41104907759543324,0.09122698178389643
44398,40.15219356177925,-0.16737393831143632
44699,0.425806513435106,-2.8434243761833122
44998,0.3557097608005071,-1.3994818613952824
45299,0.44075318310177264,-3.2395460546214068
45598,0.42151235299690026,-3.2044833176975933
45899,0.412622848412737,-3.048248374756094
46199,0.44990633645890227,-2.419134891171709
46498,0.445419777100106,-2.7316791944068095
