,rmse,skill
299,,
598,,
899,,
1198,,
1499,,
1798,,
2099,4.3723462163249005,0.00036833951337833515
2398,3.2150022109382506,-0.045209374296988125
2699,2.4700734191753266,-0.13989760947849628
2999,,
3298,1.7571058773552366,-3.107356771014085
3599,2.0568312119557928,-0.04062861628704573
3898,,
4199,2.4916893725934854,0.3483261650984337
4498,,
4799,,
5098,,
5399,,
5699,,
5998,,
6299,,
6598,,
6899,,
7198,,
7499,,
7798,,
8099,,
8399,,
8698,,
8999,,
9298,,
9599,,
9898,,
10199,,
10498,,
10799,,
11099,,
11398,,
11699,,
11998,,
12299,,
12598,,
12899,,
13198,,
13499,2.5520414641625364,-2.1598408509571922
13799,3.21712830758576,-6.526722857904661
14098,2.4555897677511753,-5.918421158176009
14399,3.2850212524932014,-6.849854259935202
14698,2.363349716107131,-3.2709338752504307
14999,2.704242914444655,-2.6081847611036793
15298,2.641833898065983,-1.0497710664373892
15599,2.872931573633332,-1.6598476037823544
15898,2.7413075864662826,-1.3910675201754308
16199,2.9499375179816205,-2.3458985302055892
16499,2.704365652211284,-1.2044618659912834
16798,,
17099,3.031800130057588,-2.3327007745521846
17398,2.9029464504654197,-1.6613708700202583
17699,2.7237596324456317,-1.7607196441525503
17998,3.0284340499253006,-2.2908619473342027
18299,2.355835394048433,-2.5430158265000316
18598,,
18899,2.3478574583808793,-2.3425528198835552
19199,2.792746430255139,-4.959995075742054
19498,2.3633649992610852,-4.791814928851724
19799,2.8500368451654063,-7.807498571006905
20098,,
20399,2.9024538699500617,-2.5895748592988785
20698,2.3782756574602604,-9.772545136397119
20999,,
21298,,
21599,,
21899,2.173749630277882,-9.840992761917176
22198,,
22499,,
22798,,
23099,,
23398,,
23699,,
23998,,
24299,2.242570812872793,-9.428942052014428
24599,,
24898,,
25199,,
25498,,
25799,,
26098,,
26399,,
26698,,
26999,,
27299,,
27598,,
27899,,
28198,,
28499,,
28798,,
29099,1.3470056748258752,-7.630725820124518
29398,,
29699,0.92554846530374,-4.254569037487469
29999,1.3438127426778053,-7.758464879154305
30298,0.5983794517197625,-1.612939831254827
30599,1.2764944220797279,-6.950098791379975
30898,1.3985999458457974,-6.725402374354815
31199,,
31498,,
31799,,
32098,,
32399,,
32699,,
32998,,
33299,,
33598,2.5729659799849127,-4.870439922782921
33899,,
34198,,
34499,2.4621599822105624,-2.411883927867124
34798,,
35099,,
35399,,
35698,,
35999,6.868494313827831,-0.09618382615603283
36298,3.530641368602829,-0.8861739917766913
36599,3.025583596772019,-3.099549614754796
36898,,
37199,8.928037074337997,-0.10428332423452802
37498,,
37799,3.431580491854797,-4.823976722179733
38099,3.5870472478532887,-1.4317960502581935
38398,,
38699,,
38998,,
39299,94.05828018322322,-0.46618839714486016
39598,,
39899,,
40198,,
40499,,
40799,,
41098,,
41399,,
41698,,
41999,,
42298,,
42599,,
42898,,
43199,,
43499,,
43798,,
44099,,
44398,41.15312741250299,-0.1609661420262245
44699,,
44998,,
45299,,
45598,,
45899,,
46199,,
46498,,
46799,,
47098,,
47399,,
47698,,
47999,,
48298,2.529883389394233,-9.597055288961208
48599,,
48899,2.468102321395594,-3.984020708112741
49198,2.623259630679249,-4.225175774683683
49499,2.1626354484835186,-9.359623878063005
49798,2.580242169848871,-1.5998076083440735
50099,3.0956477332249923,-0.11551126298565628
50398,3.6536697126065545,-0.07198411721264963
50699,5.645138069111653,-0.08616764975841695
50998,5.871074022986441,-0.06679690541347805
51299,8.008301888192504,-0.0803879154306204
51599,6.695429967405221,-0.07079634586479533
51898,3.7971972144169235,-0.06651711962568685
52199,8.279513419238548,-0.09075330110291802
52498,7.957869298216611,-0.08484810921963515
52799,10.562137147058753,-0.10049934768479973
53098,11.074422248027858,-0.13063198537742138
53399,8.311023680701524,-0.06268884084729809
53698,20.462961177281127,-0.18218859880231197
53999,37.60662387625593,-0.14487516289306934
54299,61.2273150356719,-0.2172356495995471
54598,85.14223352156878,-0.18796003783897008
54899,,
55198,4.36609113831337,-5.340675170123425
55499,4.037111837396579,-2.821252778979233
55798,74.61314326817823,-0.2152706820320609
56099,49.29502778412026,-0.22203309616967593
56398,21.781188826068107,-0.15281873889973885
56699,7.848202568090445,0.007972675415013453
56999,26.20253342003086,-0.4297072037526246
57298,2.958014589757371,-3.196380619085648
57599,2.7702514042897786,-2.223214563688856
57898,2.5896535111059404,-1.5168823881845643
58199,2.6352182024194075,-1.5964105103508266
58498,2.5291938504051927,-1.2206054911300175
58799,2.653317659030519,-1.6093287870392587
59098,2.636776315926353,-1.51267086320328
59399,2.611997809224964,-1.542430283774086
59699,2.82541133061057,-2.5336529504176246
