,rmse,skill
299,0.5095872550504983,-1.1074413329042208
598,0.521667260790858,-1.2571306522679424
899,0.46941249466485907,-0.9199508996487937
1198,0.4792928109973975,-1.0654562831234542
1499,0.4006488657662021,-0.6003008292169794
1798,0.44251398575970446,-0.6714448998071219
2099,4.488351982058277,-0.13883052153800546
2398,2.8422696655074886,-0.2324376152524319
2699,1.5664597864724965,-0.18956134333526609
2999,0.45996441049571046,-0.5524291714799188
3298,1.026356863445807,-0.5877317799277599
3599,1.6005591206598375,-0.32243253091720137
3898,0.55407591597417,-0.7057881216907527
4199,3.253931354393727,-0.3640264952054093
4498,0.6505714821841825,-1.0229325046072213
4799,0.5456651001305803,-0.6331580089783502
5098,0.5231166964199319,-0.6137553102164977
5399,0.5470015945865986,-0.7323612190914495
5699,0.5485264676490986,-0.6793079697312971
5998,0.8517827657744695,-1.145612938401619
6299,0.6295010759729602,-0.6708976326186793
6598,0.5494323150880461,-0.6627261972060332
6899,0.5845730492544922,-0.6336911264069682
7198,0.5540202842315645,-0.6016502178421812
7499,0.6225578903864366,-0.667838467367883
7798,0.6265223997064537,-0.6601911954800068
8099,0.6812109261650899,-0.6747399425598919
8399,0.6181766699066185,-0.6785797663392161
8698,0.6044572913232851,-0.6077900771697089
8999,0.5697182979961084,-0.49827818469265095
9298,0.5499051311095343,-0.4229426453553329
9599,0.5677807126604602,-0.4412351524451523
9898,0.6169366575308305,-0.513843677038794
10199,0.595771171563238,-0.49194047090347093
10498,0.6196868103294417,-0.5380518641975702
10799,0.6019908644799048,-0.5067581092459184
11099,0.6608394220169418,-0.5928759992701658
11398,0.6614154811558306,-0.6006695573310341
11699,0.7682953937762009,-0.7239900228384621
11998,0.7741939001072196,-0.7571467097003313
12299,0.9005233873601158,-0.8599783834522012
12598,0.9267889704480788,-0.8552636455615592
12899,1.0906030225939123,-0.9255120337025615
13198,1.0323758128508564,-0.8900432658429762
13499,1.8682350601007218,-1.0030184145285266
13799,1.3939119995659994,-0.9556712015340174
14098,1.2009523354503935,-0.9225754459642825
14399,1.4660233868784995,-0.9491679460797626
14698,1.4827946809271104,-0.9795081000817878
14999,1.7356484873212412,-0.9760585780200162
15298,2.1783254772585954,-0.9316528736283065
15599,2.1187005990734096,-1.0027770454091982
15898,2.192724383434521,-1.0153013401851783
16199,1.9430551062192432,-0.9814129650079577
16499,2.186568570740077,-0.9669924645862351
16798,2.141107487311836,-0.9172715115963272
17099,2.178790488297947,-1.038179318794338
17398,2.0710701770340583,-0.9481768726604356
17699,1.9477314538090549,-0.9159669376068034
17998,1.9419027965845177,-0.9486000761972238
18299,1.607100811334147,-0.9157456400775781
18598,1.559148492398962,-0.9223898649685243
18899,1.6478563252577583,-0.9488077172322427
19199,1.4026339814642732,-0.9133632082365089
19498,1.2559493172721439,-0.8676569779661152
19799,1.2082049516928586,-0.9708976840158419
20098,1.1232778110539696,-0.9354235687650505
20399,1.6292709875724882,-0.7242378188991603
20698,0.9513512210253003,-0.8658535779831602
20999,1.0612150390962722,-1.026837443676277
21298,0.9091028588199337,-0.9043651569149977
21599,0.8898473738731744,-0.8855409736813431
21899,0.9181920794356745,-0.9000298663831041
22198,0.906193808900952,-0.935403344808369
22499,0.8833236041463226,-0.8925995590582019
22798,0.7880307347041929,-0.8530093246858304
23099,0.87291427799123,-0.9137136666663646
23398,0.8086603189750262,-0.9100508990523211
23699,0.9405025780398409,-1.0052542255354595
23998,0.7911464634533368,-0.8851580167630178
24299,1.0142867168060448,-0.9672413328729987
24599,0.7331070349278738,-0.9623796934187752
24898,0.7596701048260219,-0.9215043584856406
25199,0.7163183297774107,-0.9107509507518012
25498,0.7574611825436145,-1.009634990504059
25799,0.7619148952380589,-1.0989167115685614
26098,0.6805802367264849,-1.0244992633645484
26399,0.7578590397426885,-1.1091064011451692
26698,0.7281998449556516,-1.0303481897046414
26999,0.6960928768098182,-1.0258258151231217
27299,0.7043176853306514,-1.1389843484717614
27598,0.7572746564811146,-0.9692529248885786
27899,0.7192572526061145,-1.0053516900859294
28198,0.6737775000875961,-0.974144876397089
28499,0.6804962833422254,-0.99228531569615
28798,0.6291080026593552,-1.1007977567460232
29099,0.7727080410713922,-1.0303395582337251
29398,0.7225260486292626,-1.1139296756684152
29699,0.7301625291894479,-1.0060972441430143
29999,0.7698842792843552,-0.9653702985675179
30298,0.7082259334595773,-0.9998852832241945
30599,0.763284214077633,-0.9955656125512313
30898,0.7758743993532692,-0.9627030239798899
31199,0.6661077327930841,-1.151951291269648
31498,0.7261996360801211,-1.0347608272733102
31799,0.6612412078301213,-1.110033447306848
32098,0.6436805126634544,-1.031057503998957
32399,0.6110490107606766,-1.2352694250623668
32699,0.653098207320862,-1.0627483596332588
32998,0.6911934649044165,-1.0529458387541513
33299,0.6872792988393803,-1.0326095789630263
33598,1.1374589187676214,-0.6024194927989819
33899,0.6606838202331201,-1.0460681700211647
34198,0.7269943776220091,-1.0250053607554679
34499,1.6267141511463226,-0.7568683520904915
34798,0.7196819321125285,-1.1039662291226882
35099,0.6124930929298795,-1.2431365176066622
35399,0.5410848923673794,-1.3928643358736954
35698,0.7234855224674663,-0.7557762124308751
35999,5.55236567569033,-0.21329700522426487
36298,2.2963968662218552,-0.5061335311511939
36599,1.5171028708766388,-0.5620253292049326
36898,0.4923538125201574,-1.3924000607465135
37199,8.637038885233554,-0.2915170214012863
37498,0.8399504748951574,-0.7478365876492397
37799,1.248583500573398,-0.4285572011368053
38099,1.5430103455664534,-0.2428899461984244
38398,0.7093195004437685,-0.7020147525302378
38699,0.582395365786361,-1.0473663558558979
38998,0.8013036632701573,-0.8991980643740489
39299,98.00235321319423,-0.5073018905719144
39598,0.4512712609946943,-1.074956058061407
39899,0.45478625239725073,-0.8609551501162105
40198,0.4419930702560471,-1.010250467916999
40499,0.49611755978382494,-0.6476313776163982
40799,0.4331740602120656,-0.8909079396042849
41098,0.45728868387641747,-0.8632197006864615
41399,0.4652692742421583,-0.9695006188722934
41698,0.47930693980216993,-0.7464949600715285
41999,0.4895442819804107,-0.7923892589159194
42298,0.4709851074780959,-0.7744211557732703
42599,0.6178932992704663,-0.9419836472941459
42898,0.4942617740274108,-0.7627113682601674
43199,0.47815438179129977,-0.7197732016665896
43499,0.46680121699268856,-0.6000290771302685
43798,0.4638562424579663,-0.6682568225518051
44099,0.8253745314027817,-0.9693060516683003
44398,40.53219654869733,-0.18158744663336823
44699,0.4169148093442755,-0.4775113475199997
44998,0.528929642936868,-1.1937449855135136
45299,0.40091247452946066,-0.434480308011185
45598,0.4026315996776088,-0.47784904090336777
45899,0.40986431640446064,-0.4956271025852981
46199,0.40605418226397205,-0.3348667635172069
46498,0.39889704154797917,-0.3398862365429909
46799,0.414498907311868,-0.36439619983417737
47098,0.41174441559499064,-0.3780492678428675
47399,0.4684326851618995,-0.8354118254265965
47698,0.5127369368493996,-1.0618644635679853
47999,0.4854565522730108,-0.9411599882676716
48298,0.7819431555027501,-0.6258670807113191
48599,0.5940102120979601,-1.0119781079025518
48899,0.9906317855748122,-0.5059338004006515
49198,1.391076995658727,-0.858413784340661
49499,0.9114643085753935,-0.9427788890655857
49798,1.4544668138508563,-0.5377199367283378
50099,2.9103142019417465,-0.3323954396810924
50398,3.572252932000895,-0.2952974179718413
50699,6.108647343931357,-0.23266050423639784
50998,6.591964926977653,-0.2541774988418035
51299,8.913948238204505,-0.20315775453880147
51599,7.480606084604967,-0.2334335708818791
51898,3.761065621264785,-0.32287313016758845
52199,9.71225575487886,-0.24725466269574636
52498,9.475830066911268,-0.25932355469428847
52799,11.229523080337195,-0.3444651851237759
53098,13.746981435237508,-0.3502551378800105
53399,9.980890406517752,-0.3423256888906767
53698,23.351637640538943,-0.3065619381942106
53999,42.03275610899977,-0.20134977484992733
54299,65.48226769818727,-0.2677971573777218
54598,89.62388715860394,-0.21781911860158476
55198,1.2854308420676548,-0.20304132208498205
55499,1.6271861961688552,-0.27057570820278576
55798,78.4625084236456,-0.26001265622327163
56099,53.142072095571535,-0.29457105181434207
56398,23.53315307941924,-0.3165941078613923
56699,10.222802179839679,-0.4853928059695689
56999,30.11633190835596,-0.7448529765666692
57298,1.8006980706127622,-0.9568199634409271
57599,1.9896262572793344,-1.017523289845201
57898,2.170242471922853,-1.0602727292518388
58199,2.1249791663580373,-1.0066413028314014
58498,2.2317684018696116,-1.0073793760369845
58799,2.1055385394922967,-0.9819063658344405
59098,2.1208217263418336,-0.9650662373357639
59399,2.1487406016913706,-1.0266863535239508
59699,1.9350664094552594,-1.0018549296239847
59998,1.6767291532724842,-0.9172142434939126
60299,1.4830921697485806,-0.8564460226688355
60598,1.3357170335101545,-0.8159184077559136
60899,1.07535861737821,-0.6545701188195712
61198,1.3707248581916112,-1.4787432509912821
61499,1.20578151880919,-1.0916153872892607
61798,0.6568427816101159,-0.2760692446881208
62099,0.7812240517605786,-0.6394095259674362
62399,0.5814374152767825,-0.15668372965719013
62698,3.4855966506679863,-0.45965038242899414
62999,0.6243148540360417,-0.1926198142719444
63298,16.623963706717877,-0.41802044682554595
63599,3.100757634806875,-0.4476675168773403
63898,0.8181643914017825,-0.6075274251415566
64199,0.7316498589619678,-0.580409582208963
64498,0.6341337467609405,-0.296796420721017
64799,0.7192169043535329,-0.6279957931899334
65099,0.655847468714644,-0.4463939410220983
65398,0.5990885039669588,-0.3088711931682311
65699,0.5830836440873292,-0.30607942218585826
65998,0.5831969887725144,-0.35378902882958685
66299,0.5551365450595515,-0.34385920483697796
66598,0.5319322022152797,-0.38933354471381865
66899,0.5567461048952539,-0.46739877146601105
67198,1.0675900975734949,-0.9421303765939868
67499,0.5695846633836797,-0.565785096248234
67799,0.536483960735229,-0.5100930372806189
68098,0.5259593418384522,-0.5669515120226032
68399,0.5217700921917628,-0.6066677123226611
68698,0.5591054845227812,-0.7147514237038772
68999,0.6517041665598183,-0.7876591437403015
69298,0.6726905885922256,-0.8600263087332105
69599,0.6620171882889849,-0.9214274064115864
