,rmse,skill
299,0.9341399985309538,-3.3152355145742165
598,0.9398609185413971,-3.15840069584102
899,1.307054842642711,-8.320410528246047
1198,1.2717227618325257,-7.862092872498312
1499,1.2917405166866922,-6.402228789599605
1798,1.2833209177028961,-5.979767554807723
2099,5.093783877211801,-0.11267990900156555
2398,3.497380095783958,-0.1958481805583152
2699,2.488725852153657,-0.2329271162490767
2999,1.412707951947889,-5.896088455844493
3298,1.7109776436363187,-1.0237623983471904
3599,2.3790082957270595,-0.34996753360295263
3898,1.3649732703162387,-5.260658840256366
4199,3.6397073189213143,-0.25179653635413235
4498,1.4056659995500709,-4.709859850454485
4799,1.3502851625292014,-4.641591295186981
5098,1.3470254827861463,-5.435089612624947
5399,1.3131475814644764,-5.529342049714629
5699,1.3056409762006176,-5.006744179876024
5998,1.462698118079528,-2.5760343650612803
6299,1.2261605185431899,-2.800716959137763
6598,1.28382771379321,-4.379188887586012
6899,1.1724428505215798,-2.4178172483360942
7198,1.1922711972391722,-2.8672231965899333
7499,1.1852879527091642,-2.187358315641602
7798,1.1793677822485167,-2.1169460188774414
8099,1.1612180622716641,-1.7184160986320203
8399,1.1712071538462476,-4.682740653743019
8698,1.1618060399295806,-4.659448349854319
8999,1.1251169993393026,-4.558542411839618
9298,1.1055142250453214,-4.320724826147298
9599,1.1288491186147658,-4.593030389657178
9898,,
10199,,
10498,,
10799,,
11099,,
11398,,
11699,,
11998,,
12299,,
12598,,
12899,,
13198,,
13499,,
13799,,
14098,,
14399,,
14698,,
14999,,
15298,,
15599,,
15898,,
16199,,
16499,,
16798,,
17099,,
17398,,
17699,,
17998,,
18299,,
18598,,
18899,,
19199,,
19498,,
19799,,
20098,,
20399,,
20698,,
20999,,
21298,,
21599,,
21899,,
22198,,
22499,,
22798,,
23099,,
23398,,
23699,,
23998,,
24299,,
24599,,
24898,,
25199,,
25498,,
25799,,
26098,,
26399,1.2204242130577245,-2.3682859137636867
26698,1.2363253332614286,-2.5100742680819144
26999,1.2171289704535582,-2.8134877333021886
27299,1.1856096592521692,-2.946081787228202
27598,1.2731668244350398,-2.1958589449148844
27899,1.3946164556185148,-3.4201835185958096
28198,1.3701479226972186,-3.8066846809390915
28499,1.365223576414811,-3.7922480589281946
28798,1.328617107593052,-4.9836806654309145
29099,1.4082606399832027,-2.7437247942635024
29398,,
29699,,
29999,,
30298,,
30599,,
30898,,
31199,,
31498,,
31799,,
32098,,
32399,,
32699,,
32998,,
