,rmse,skill
299,,
598,,
899,,
1198,,
1499,,
1798,,
2099,4.333696761826358,-0.0012945114561491167
2398,3.0292604609859985,-0.1446503362439484
2699,2.1858922867912423,-0.19670503587410426
2999,,
3298,1.8356864629779572,-5.585321456258305
3599,2.3999897888771438,-0.9415570977272361
3898,,
4199,2.970774674155384,0.03459354212933241
4498,,
4799,,
5098,,
5399,,
5699,,
5998,,
6299,,
6598,,
6899,,
7198,,
7499,,
7798,,
8099,,
8399,,
8698,,
8999,,
9298,,
9599,,
9898,,
10199,,
10498,,
10799,,
11099,,
11398,,
11699,1.50002777052529,-8.352568906144882
11998,1.5002875770873962,-8.179876738538397
12299,1.411301937773006,-5.693317100457168
12598,1.3820829386846185,-4.925243773828374
12899,1.27749325976503,-3.2296381573969732
13198,1.308557998550784,-3.614578865160464
13499,1.386152102583681,-0.5192029822418764
13799,1.2037626507828902,-1.4084960556882424
14098,1.2154006055970465,-2.2666766975466546
14399,1.1404950213872125,-1.148774977236013
14698,1.170027999273631,-1.1541079893584336
14999,1.1900360190143802,-0.5986338024115037
15298,1.4416269677783529,-0.21648344253618768
15599,1.3600036686174188,-0.25903092454227483
15898,1.3698499564272824,-0.19626892326163037
16199,1.27269219604103,-0.36016042979367224
16499,1.4210968520163487,-0.192725216825671
16798,1.4243022291899599,-0.20333408358850535
17099,1.336803110963108,-0.189468371705656
17398,1.3525111939584784,-0.22737837447942932
17699,1.274978517774826,-0.2938242203716923
17998,1.2636470674677376,-0.30007256336174026
18299,1.119021188337124,-0.7296725342833166
18598,1.1067315751949272,-0.8300026913287684
18899,1.165389195047772,-0.6853631917205589
19199,1.1533280941851782,-1.2526638122222846
19498,1.1769539977293153,-1.7988255490905165
19799,1.1586600659473203,-2.21291494349896
20098,1.2154047709148665,-2.778584823588731
20399,1.3206133627524028,-0.4377788867194885
20698,1.3413372968221005,-4.384009176747702
20999,1.257120069392927,-3.4505177874852615
21298,1.377204543412109,-5.239244807634742
21599,1.4059237579706219,-5.607748815387286
21899,1.381963089607196,-5.152377527980199
22198,1.391201416928955,-5.573075186638177
22499,1.417164218345622,-5.81469045773328
22798,1.5145126090074674,-8.136295094237683
23099,1.43676809910006,-6.196941923150653
23398,1.500770535458856,-7.919451042227221
23699,1.3718168821301524,-5.211006181185621
23998,1.524333237949597,-8.30042487092878
24299,1.3575390299462504,-3.972159116337992
24599,,
24898,1.5652040634056155,-9.858649717259967
25199,,
25498,,
25799,,
26098,,
26399,,
26698,,
26999,,
27299,,
27598,,
27899,,
28198,,
28499,,
28798,,
29099,1.5260528089889487,-9.689913282890771
29398,,
29699,,
29999,1.5713239906833933,-9.630440401781449
30298,,
30599,,
30898,1.5835506559750596,-9.49811111929164
31199,,
31498,,
31799,,
32098,,
32399,,
32699,,
32998,,
33299,,
33598,1.5559602768182397,-1.8768532406272005
33899,,
34198,,
34499,1.2559469348654402,-0.1149632059732395
34798,,
35099,,
35399,,
35698,,
35999,5.018488687931251,-0.02581592451019188
36298,1.8429897636576362,0.20736689717681456
36599,1.4620670195332681,-0.7158157349487009
36898,,
37199,7.782694757660972,-0.10065546794671865
37498,1.6667052025206988,-7.312444148677066
37799,1.6014265600952347,-1.2464283848502613
38099,2.030424711871112,-0.3141614178517256
38398,,
38699,,
38998,1.6695329453203358,-9.39236932319314
39299,96.25869582458687,-0.4675338483895348
39598,,
39899,,
40198,,
40499,,
40799,,
41098,,
41399,,
41698,,
41999,,
42298,,
42599,,
42898,,
43199,,
43499,,
43798,,
44099,1.4978707917863554,-5.9617629340648834
44398,40.212445337270566,-0.14348109201855164
44699,,
44998,,
45299,,
45598,,
45899,,
46199,,
46498,,
46799,,
47098,,
47399,,
47698,,
47999,,
48298,1.5266374101651383,-4.427033073967432
48599,,
48899,1.5418676484119258,-1.7769457537892182
49198,1.4165885269115732,-1.1717505036362472
49499,1.357042229301295,-5.137460735867773
49798,1.5913356626082815,-0.4013327739670376
50099,2.377116504993533,0.08728582798122697
50398,2.8208937599461086,0.05989368726213584
50699,4.876358392710259,-0.01800089668585625
50998,5.2723406706082505,-0.03665663443582434
51299,7.5726169070665845,-0.06206672436003502
51599,6.179891685358415,-0.055556055453876985
51898,3.1289657387887853,0.02917339945391728
52199,8.250659674787705,-0.09258953851187868
52498,8.049095187421962,-0.09598162745492034
52799,10.167669128273028,-0.1609187644592074
53098,12.189915052835941,-0.17820613989604506
53399,8.489359963304791,-0.11623086000713645
53698,21.706577799396776,-0.2136443751539161
53999,40.30392289661001,-0.16240762791450125
54299,63.70582619175585,-0.23315548179779766
54598,87.83195477013548,-0.1954624385152548
54899,,
